permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,1990-12-31,1991-06-30,1991-10-31,0.055,1.564,0.793,2.314,XON
11850,1990-12-31,1991-09-30,1991-11-30,0.056,1.521,0.817,2.152,XON
11850,1990-12-31,1991-09-30,1991-12-31,0.056,1.521,0.817,2.232,XON
11850,1990-12-31,1991-09-30,1992-01-31,0.056,1.521,0.817,2.136,XON
11850,1991-12-31,1991-12-31,1992-02-29,0.054,1.388,0.816,1.526,XON
11850,1991-12-31,1991-12-31,1992-03-31,0.054,1.388,0.816,1.462,XON
11850,1991-12-31,1991-12-31,1992-04-30,0.054,1.388,0.816,1.602,XON
11850,1991-12-31,1992-03-31,1992-05-31,0.047,1.469,0.829,2.199,XON
11850,1991-12-31,1992-03-31,1992-06-30,0.047,1.469,0.829,2.244,XON
11850,1991-12-31,1992-03-31,1992-07-31,0.047,1.469,0.829,2.303,XON
11850,1991-12-31,1992-06-30,1992-08-31,0.045,1.464,0.823,2.262,XON
11850,1991-12-31,1992-06-30,1992-09-30,0.045,1.464,0.823,2.248,XON
11850,1991-12-31,1992-06-30,1992-10-31,0.045,1.464,0.823,2.156,XON
11850,1991-12-31,1992-09-30,1992-11-30,0.044,1.460,0.825,2.090,XON
11850,1991-12-31,1992-09-30,1992-12-31,0.044,1.460,0.825,2.147,XON
11850,1991-12-31,1992-09-30,1993-01-31,0.044,1.460,0.825,2.147,XON
11850,1992-12-31,1992-12-31,1993-02-28,0.047,1.398,0.835,1.789,XON
11850,1992-12-31,1992-12-31,1993-03-31,0.047,1.398,0.835,1.861,XON
11850,1992-12-31,1992-12-31,1993-04-30,0.047,1.398,0.835,1.857,XON
11850,1992-12-31,1993-03-31,1993-05-31,0.045,1.466,0.836,2.385,XON
11850,1992-12-31,1993-03-31,1993-06-30,0.045,1.466,0.836,2.407,XON
11850,1992-12-31,1993-03-31,1993-07-31,0.045,1.466,0.836,2.389,XON
11850,1992-12-31,1993-06-30,1993-08-31,0.048,1.463,0.844,2.364,XON
11850,1992-12-31,1993-06-30,1993-09-30,0.048,1.463,0.844,2.368,XON
11850,1992-12-31,1993-06-30,1993-10-31,0.048,1.463,0.844,2.363,XON
11850,1992-12-31,1993-09-30,1993-11-30,0.052,1.457,0.841,2.249,XON
11850,1992-12-31,1993-09-30,1993-12-31,0.052,1.457,0.841,2.262,XON
11850,1992-12-31,1993-09-30,1994-01-31,0.052,1.457,0.841,2.383,XON
11850,1993-12-31,1993-12-31,1994-02-28,0.054,1.324,0.799,1.787,XON
11850,1993-12-31,1993-12-31,1994-03-31,0.054,1.324,0.799,1.733,XON
11850,1993-12-31,1993-12-31,1994-04-30,0.054,1.324,0.799,1.733,XON
11850,1993-12-31,1994-03-31,1994-05-31,0.054,1.416,0.830,2.153,XON
11850,1993-12-31,1994-03-31,1994-06-30,0.054,1.416,0.830,1.999,XON
11850,1993-12-31,1994-03-31,1994-07-31,0.054,1.416,0.830,2.096,XON
11850,1993-12-31,1994-06-30,1994-08-31,0.051,1.401,0.830,2.060,XON
