permno,adate,qdate,public_date,evm,pe_exi,gpm,roe,capital_ratio,debt_ebitda,PEG_trailing,divyield,TICKER
62092,2010-12-31,2011-06-30,2011-08-31,11.710,21.626,0.442,0.059,0.138,1.491,3.158,,TMO
62092,2010-12-31,2011-06-30,2011-09-30,11.710,19.937,0.442,0.059,0.138,1.491,2.911,,TMO
62092,2010-12-31,2011-06-30,2011-10-31,11.710,19.791,0.442,0.059,0.138,1.491,2.890,,TMO
62092,2010-12-31,2011-09-30,2011-11-30,11.738,18.173,0.448,0.059,0.185,1.980,2.368,,TMO
62092,2010-12-31,2011-09-30,2011-12-31,11.738,17.296,0.448,0.059,0.185,1.980,2.254,,TMO
62092,2010-12-31,2011-09-30,2012-01-31,11.738,20.346,0.448,0.059,0.185,1.980,2.651,,TMO
62092,2011-12-31,2011-12-31,2012-02-29,10.140,21.366,0.490,0.059,0.277,3.003,3.360,,TMO
62092,2011-12-31,2011-12-31,2012-03-31,10.140,21.275,0.490,0.059,0.277,3.003,3.346,.922%,TMO
62092,2011-12-31,2011-12-31,2012-04-30,10.140,21.000,0.490,0.059,0.277,3.003,3.302,.934%,TMO
62092,2011-12-31,2012-03-31,2012-05-31,10.834,18.029,0.459,0.061,0.261,2.541,1.695,1.03%,TMO
62092,2011-12-31,2012-03-31,2012-06-30,10.834,18.539,0.459,0.061,0.261,2.541,1.743,1.00%,TMO
62092,2011-12-31,2012-03-31,2012-07-31,10.834,19.882,0.459,0.061,0.261,2.541,1.869,.934%,TMO
62092,2011-12-31,2012-06-30,2012-08-31,10.151,18.927,0.464,0.065,0.278,2.700,1.287,.907%,TMO
62092,2011-12-31,2012-06-30,2012-09-30,10.151,19.416,0.464,0.065,0.278,2.700,1.320,.884%,TMO
62092,2011-12-31,2012-06-30,2012-10-31,10.151,20.152,0.464,0.065,0.278,2.700,1.370,.852%,TMO
62092,2011-12-31,2012-09-30,2012-11-30,10.252,20.175,0.464,0.067,0.286,2.698,1.287,.818%,TMO
